"Company","Vessel Name","IMO"
"Genel Denizcilik Nakliyati AS","Advantage Sun","9513141"
"Eastern Mediterranean Maritime Limited","Adventure","9286073"
"Coral Shipping Corp.","Adventurous","9308778"
"Euronav NV","Aegean","9732553"
""K" Line RoRo Bulk Ship Management Co., Ltd.","Aegean Highway","9464388"
"NYK Shipmanagement Pte. Ltd.","Aegean Leader","9054119"
"Arcadia Shipmanagement Co., Ltd.","Aegean Nobility","9345441"
"World Faith Co.","Aegean Unity","9745237"
"Heroic Tucana Inc.","Aegean Wave","9387920"
"Victory Spirit SA","Aegeas","9315800"
"Aegiali Maritime Corporation","Aegiali","9260902"
"Aeriko Marine S.A.","Aeriko","9681546"
"Transpetrol TM AS","Affinity V","9645401"
"B&S Enterprise Co., Ltd.","African Alke","9766231"
"B&S Enterprise Co., Ltd.","African Alke","9766231"
"Yano Kaiun Co., Ltd.","African Arrow","9727297"
"Imecs Co., Ltd.","African Finfoot","9748473"
"Toei Korea Ltd.","African Quail","9738741"
"Technomar Shipping Inc.","African Queen","9389930"
"M & N Shipping Corporation","African Spoonbill","9701712"
"Bridgetower Limited","African Venture","9612131"
"Southport Marine SA","Afrodite","9292620"
"Afroditi Navigation Inc.","Afroditi","9452880"
"Alassia NewShips Management, Inc.","Afroessa","9666522"
"AG Shipping & Energy Pte. Ltd.","AG Mars","9337315"
"Agamemnon Container Carrier Corp.","Agamemnon","9315381"
"Eletson Corporation","Agathonissos","9232448"
"Agena SA","Agena","9587831"
"Agia Skepi Shipping Inc.","Agia Skepi","9174634"
"Technomar Shipping Inc.","Agios Dimitrios","9349605"
"Eastern Mediterranean Maritime Limited","Agios Gerasimos","9693056"
"Agios Minas Shipping Company","Agios Minas","9221839"
"Pentakomo Shipping Corporation","Agios Spyridonas","9438676"
"Polarwind Maritime SA","Agisilaos","9315745"
"Forward Ltd.","Aaistri","9597018"
"M.T.M. Ship Management Pte. Ltd.","Agnes Victory","9258600"
"Lois Maritime Ltd.","Aagrari","9389083"
"De Poli Shipmanagement","Aigran D","9138408"
"LSC SIA","Ainazi","9323405"
"Tempest Maritime Inc.","Aiolos","9315769"
"Asahi Tanker Co., Ltd.","Akatsuki Maru","9473729"
"Laredo Maritime Inc.","Akeraios","9328297"
"Rema Maritime Limited","Aktea R","9554171"
"Centurion Navigation Limited","Aktoras","9312925"
"Al Agaila Oil Company Limited","Al Agaila","9415404"
"Madu Shipping Pte. Ltd.","Alam Madu","9717060"
"Manis Shipping Pte. Ltd.","Alam Manis","9397834"
"Molek Shipping Pte. Ltd.","Alam Molek","9717072"
"Brilliant Star Shipping Pte. Ltd.","Alam Mulia","9748497"
"PCL (Shipping) Pte. Ltd.","Alam Mutiara","9615169"
"Padu Shipping Pte. Ltd.","Alam Padu","9285158"
"Malaysian Bulk Carriers Berhad","Alam Permai","9285160"
"Pintar Shipping Pte. Ltd.","Alam Pintar","9296858"
"Sejahtera Shipping Pte. Ltd.","Alam Sejahtera","9757539"
"Worldwide Overseas SA","Alaska","9302607"
"Rainbow Maritime Co., Ltd.","Alaska","9773480"
"Alaska Tanker Company, LLC","Alaskan Explorer","9244661"
"Alaska Tanker Company, LLC","Alaskan Legend","9271432"
"Alaska Tanker Company, LLC","Alaskan Navigator","9244673"
"UCC 5 Limited","Alba","9297345"
"Pacific Basin Chartering (No. 8) Limited","Albany Sound","9260859"
"Wagenborg Shipping BV","Albanyborg","9466300"
"Neom Maritime (Singapore) Pte. Ltd.","Albatross","9427574"
"Victoria Ship Management Inc.","Albatross Trader","9724063"
"Sumida Shipping Inc.","Alberta","9486922"
"Marfin Management S.A.M.","Alberto Topic","9728473"
""K" Line RoRo Bulk Ship Management Co., Ltd.","Albion Bay","9496989"
"Euronav NV","Alboran","9728693"
"Arab Maritime Petroleum Transport Company","Album","9240407"
"Arab Maritime Petroleum Transport Company","Alburaq","9381732"
"Super-Eco Bulkers Management Inc.","Alcor","9767314"
"Orama Maritine Company","Alcyone |","9237113"
"Arab Maritime Petroleum Transport Company","Aldana","9809368"
"Super-Eco Tankers Management Inc.","Aldebaran","9723007"
"Soleil Marine S.A.","Alegre III","9369980"
"Riverton Shipping SA","Alegria |","9543536"
"Giuseppe Bottiglieri Shipping Company SpA","Alessandra Bottiglieri","9239460"
"Euronav NV","Alex","9722924"
"Alexandra Transportation Corp.","Alexandra","9354844"
"Z. & G. Halcoussis Co. Ltd.","Alexandria","9592616"
"Sorrel Shipmanagement Inc.","Alexandros II","9384021"
"Sterling Ocean Chemical Tankers | LLC","Alfred N","9749324"
"Algoma Shipping Ltd.","Algoma Integrity","9405162"
"Algoma Shipping Ltd.","Algoma Vision","9640944"
"Executive Shio Management Pte. Ltd.","Alhani","9331153"
"Super-Eco Tankers Management Inc.","Alhena","9538141"
"TB Marine Shipmanagement GmbH & Co. KG","Alia","9259903"
"Jillian Navigation Ltd.","Aliakmon","9323962"
"Productivity Co., Ltd.","Aliakmon","9305051"
"Armide Owning Co., Ltd.","Alicante","9527855"
"Alice Shipping BV","Alice |","9323792"
"Buchanan Maritime Corporation","Alice Oldendortff","9183776"
"Konkar Shipping Agencies SA","Aliki Perrotis","9715799"
"Executive Ship Management Pte. Ltd.","Aljalaa","9343338"
"Hercules Product Carrier SA","Alkaios","9710488"
"Brujo Finance Company","Alkimos","9430739"
"Adrian Shipholding Inc.","Alkiviadis","9327437"
"Olympic Tug & Barge, Inc.","All Aboard For A Cure","1279842"
"Freeman Shipping Co.","Allegra","9519169"
"Minos Societa di Navigazione Srl","Allegra","9436707"
"Team Tankers Deep Sea Ltd.","Allegro","9484912"
"Ocean Fox Shipping SA","Alma","9706530"
"Z. & G. Halcoussis Co. Ltd.","Almar","9572070"
"Hudson Almere Limited","Almere","9439369"
"Bianca Marine Services SA","Almi Atlas","9816323"
"Vicky International Corp.","Almi Explorer","9579547"
"Alberta Seaway SA","Almi Horizon","9579494"
"Bryan Investment Inc.","Almi Navigator","9579561"
"Ariel Navigation Ltd.","Almi Odyssey","9579559"
"Merlin Seaways SA","Almi Sky","9579523"
"Verna Marine Co. Ltd.","Almi Sun","9579535"
"Daisy Seaways SA","Almi Titan","9816335"
"Marva Navigation Co., Ltd.","Almi Voyager","9579585"
"Energetic Tank Inc.","Alnic MC","9396725"
"Eletson Corporation","Alonissos","9250531"
"Bright Charter Shipping Limited","Aloha Bulker","9336763"
"Amalia Marine Limited","Alpine Amalia","9460136"
"Transpetrol TM AS","Alpine Confidence","9389978"
"Blizzard Navigation Inc.","Alpine Duke","9470909"
"Transpetrol TM AS","Alpine Eternity","9430272"
"Ishima Pte. Ltd.","Alpine Hibiscus","9470959"
"Sea World Management & Trading Inc.","Alpine Liberty","9478690"
"Apollo Shipowning Inc.","Alpine Link","9478614"
"Transpetrol TM AS","Alpine Loyalty","9430284"
"Heroic Avenir Inc.","Alpine Madeleine","9380518"
"Sea World Management & Trading Inc.","Alpine Magnolia","9457713"
"Aleppo Shipping Ltd.","Alpine Maria","9655975"
"Ponderosa Shipping Ltd.","Alpine Mary","9655987"
"Heroic Serena Inc.","Alpine Mathilde","9380506"
"Heroic Corona Borealis Inc.","Alpine Maya","9387932"
"Sea World Management & Trading Inc.","Alpine Meadow","9478688"
"Heroic Equuleus Inc.","Alpine Melina","9387944"
"White Hydrangea Shipping SA","Alpine Mia","9391426"
"White Boxwood Shipping SA","Alpine Moment","9391438"
"Heroic Perseus Inc.","Alpine Mystery","9392808"
"Creole Marine Ltd.","Alpine Penelope","9379301"
"Bayside Shipping Ltd.","Alpine Persefone","9379961"
"Transpetrol TM AS","Alpine Venture","9430296"
"Executive Shio Management Pte. Ltd.","Algadisia","9343352"
"Euronav NV","Alsace","9530905"
"Sause Bros., Inc.","Alsea Bay","1144875"
"Super-Eco Tankers Management Inc.","Altair","9797254"
"NYK Shipmanagement Pte. Ltd.","Altair Leader","9539171"
"Diamond Star Shipping Pte. Ltd.","Altair Sky","9811555"
"Calvert Development Corporation","Alterego Il","9247376"
"Beta Maritime Limited","Alucia","17347823"
"Buchanan Maritime Corporation","Alwine Oldendorff","9692698"
"Libyan Voyager Co. Ltd.","Alyarmouk","9356438"
"Ocean Transit Carrier SA","Am Bremen","9566473"
"Mitsubishi Ore Transport Co., Ltd.","AM Contrecoeur","9583184"
"Ocean Transit Carrier SA","AM Express","9461350"
"Primate Shipping SA","Am Gijon","9454151"
"Phil-Bright Ocean Ship Management, Inc.","AM Liberia","9599078"
"The National Shipping Company of Saudi Arabia","Amad","9783693"
"Titanas Product Carrier SA","Amadeus","9700469"
"MOL Chemical Tankers Pte. Ltd.","Amagi Galaxy","9490313"
"TB Marine Shipmanagement GmbH & Co. KG","Amalia","9330355"
"Symbol Maritime Ltd.","Amalthea","9298650"
""K" Line RoRo Bulk Ship Management Co., Ltd.","Amami K","9615731"
"Apex Bulk Carriers LLC","Amanda C","9482782"
"NYK Shipmanagement Pte. Ltd.","Amazing Salute","9477232"
"Jasper Exporting Ltd.","Amazon","9476654"
"Red Leaf International Inc. - Monrovia - Liberia","Amazon","9233260"
"Pilot Shipping Co., Ltd.","Amazon Beauty","9275969"
"Amazonian Enterprises Co., Ltd.","Amazon Brilliance","9294678"
"Prime Navigation Co., Ltd.","Amazon Explorer","9231511"
"Meridian Marine Co., Ltd.","Amazon Falcon","9779587"
"Master Shipping Co., Ltd.","Amazon Fortitude","9820544"
"Countess Shipping Co., Ltd.","Amazon Gladiator","9222132"
"North Caribbean Shipping Co. Ltd.","Amazon Victory","9660358"
"South Caribbean Shipping Co., Ltd.","Amazon Virtue","9660360"
"Sinbanali Shipping Inc.","Ambassador Bridge","9409027"
"Sinbanali Shipping Inc.","Ambassador Bridge","9409027"
"Amber Maritime Limited","Amber Arrow","9277826"
"Ocean Generous Shipping Ltd.","Amber Bay","9764520"
"Redrale Marine Inc.","Amber Sun","9281891"
"Ambrosia Shipping Inc.","Ambrosia","9301029"
"Sietemar SA","Amelia","9624768"
"Nordic Hamburg Shipmanagement GmbH & Co. KG","Amelie","9647289"
"Intrepid Ship Management, Inc.","American Endurance","9759886"
"Intrepid Ship Management, Inc.","American Freedom","9759898"
"Fukunaga Kaiun Co., Ltd.","American Highway","9205976"
"Intrepid Ship Management, Inc.","American Liberty","9763851"
"Intrepid Ship Management, Inc.","American Pride","9763863"
"Teekay Shipping Limited","Americas Spirit","9247443"
"Polar Express SA","Amethyst Ace","9397999"
"Amfitrion Product Carrier SA","Amfitrion","9724623"
"Amfitriti Navigation Inc.","Amfitriti","9419369"
"Amis Star SA","Amis Ace","9552989"
"Triumph Wisdom S.A.","Amis Glory","9731535"
"Amis Miracle SA","Amis Miracle","9768045"
"Amoliani Maritime Corporation","Amoliani","9635640"
"Filonikis Product Carrier SA","Amor","9700471"
"Amorgos Shipping Corporation","Amorgos","9283801"
"Team Tankers Deep Sea Ltd.","Amorina","9484895"
"Amoureux Carriers Corp.","Amoureux","9337016"
"Hai Kuo Shipping 1811 Limited","Amphion","9830795"
"Giselle Services Company","Amphitrite","9455973"
"Triton Navigation BV","Amstel Eagle","9529516"
"Triton Navigation BV","Amstel Falcon","9460514"
"Triton Navigation BV","Amstel Stork","9758143"
"Holland America Line NV","Amsterdam","9188037"
"Holland America Line NV","Amsterdam","9188037"
"Holland America Line NV","Amsterdam","9188037"
"Euronav NV","Amundsen","9728722"
"Sea 114 Leasing Co., Ltd.","Amyntas","9830800"
"Pisa Shipholding Corporation","Analipsi Lady","9282443"
"MSC Mediterranean Shipping Company SA","Anastasia","9625970"
"Aristos Shipping Co. SA","Anatoli","9791987"
"Nitta Kisen Kaisha, Ltd.","Ancash Queen","9700809"
"LSC SIA","Ance","9323314"
"Sejin Marine Co., Ltd.","Andalucian Zephyr","9667526"
"Euronav NV","Andaman","9739501"
"Canfornav Inc.","Andean","9413925"
"Eletson Corporation","Andimilos","9282998"
"Bright Charter Shipping Limited","Andrea Enterprise","9749946"
"Champion Tankers AS","Andrea Victory","9288849"
"Max Dodeka Shipping Corporation","Andreas K","9438121"
"Manson Construction Co.","Andrew","CG05832"
"Manson Construction Co.","Andrew","CG05832"
"Manson Construction Co.","Andrew","CG05832"
"Arbor Trading SA","Andromeda","9352561"
"Victory Faith SA","Andromeda","9315795"
"Proxima Y Limited","Andromeda","9692545"
"NYK Shipmanagement Pte. Ltd.","Andromeda Leader","9273909"
"Co., Ltd","Andromeda Spirit","9372327"
"Surf Navigation Ltd.","Andros","9505352"
"Bronco Marine Inc.","Andros Island","9720304"
"Splendor Shipholding SA","Anemos |","9327463"
"Anetos Maritime Ltd.","Anetos","9425760"
"Diamlemos Shipping Corporation","Angelic Glory","9261798"
"Diamlemos Shipping Corporation","Angelic Peace","9250177"
"Sejin Marine Co., Ltd.","Angelic Zephyr","9700964"
"Bernhard Schulte Shipomanagement (Deutschland)","Angelica Schulte","9296822"
"Enyo Navigation Co.","Angelina","9218791"
